strategy,pretrain_frac,pretrain_rows,overall_mae,warm_mae,cold_mae,cvrmse
FTL,0.1,28592,0.858700463672479,0.8140004063025117,1.0375006931523483,179.50658
FTL,0.25,71482,0.92886881356438,0.8788911749919256,1.1287793678541977,195.1848
FTL,0.5,142964,0.7935011426607768,0.746013663088282,0.9834510609507561,192.41872
FTL,0.75,214446,0.7675325248390437,0.7249880110224088,0.9377105801055828,244.7701
FTL,1.0,285929,0.34953888977567354,0.3385921244819959,0.39332595095038414,51.01685
Fed-MetaTL,0.1,28592,0.9126138766606648,0.894232539460063,0.9861392254630724,128.61996
Fed-MetaTL,0.25,71482,0.8028535862763723,0.7601199125250181,0.9737882812817892,193.56001
Fed-MetaTL,0.5,142964,0.7560456227511168,0.7322565039309362,0.8512020980318388,111.04333
Fed-MetaTL,0.75,214446,0.4144393896063169,0.40730689465999603,0.4429693693916003,55.21545
Fed-MetaTL,1.0,285929,0.410869904110829,0.39524321413288516,0.47337666402260464,40.59485
FedSimTL,0.1,28592,0.24830436756213506,0.2378555772981296,0.2900995286181569,48.86623
FedSimTL,0.25,71482,0.22937946810076634,0.22136132357021174,0.2614520462229848,39.777554
FedSimTL,0.5,142964,0.19993464055781562,0.1984827231693392,0.20574231011172137,40.296764
FedSimTL,0.75,214446,0.18803496782978377,0.18566429102793336,0.19751767503718534,29.083685
FedSimTL,1.0,285929,0.2084193514039119,0.19965157099068165,0.24349047305683294,41.943993
Instance-basedTL,0.1,28592,0.35465649254620074,0.3276375592686236,0.4627322256565094,76.75156
Instance-basedTL,0.25,71482,0.2912072826176882,0.26466870633885264,0.3973615877330303,34.384705
Instance-basedTL,0.5,142964,0.2806260474026203,0.2855577797163278,0.26089911814779043,40.07096
Instance-basedTL,0.75,214446,0.32306627593934534,0.3176787830889225,0.3446162473410368,45.42048
Instance-basedTL,1.0,285929,0.1694303197786212,0.1641487553715706,0.19055657740682364,22.017462
Personalized-FL,0.1,28592,3.119473538547754,2.885878753848374,4.053852677345276,105.60481
Personalized-FL,0.25,71482,3.129591965923707,2.911146191569666,4.0033750633398695,97.56853
Personalized-FL,0.5,142964,3.3067613996565344,3.0963573303694525,4.14837767680486,104.27678
Personalized-FL,0.75,214446,3.089908653994401,2.8434550693879523,4.0757229924201965,90.26899
Personalized-FL,1.0,285929,3.194604381422202,3.023414604986707,3.8793634871641793,106.78615
Progressive Unfreezing,0.1,28592,1.0320334342618784,0.978876793757081,1.2446599962810676,213.93059
Progressive Unfreezing,0.25,71482,1.061806143571933,1.0079640339439113,1.27717458208402,203.60255
Progressive Unfreezing,0.5,142964,1.0140211542447408,0.9545425518105427,1.251935563981533,309.77805
Progressive Unfreezing,0.75,214446,1.2931662338475387,1.253460781648755,1.4519880426426728,733.6865
Progressive Unfreezing,1.0,285929,0.2178641481945912,0.21809028244266906,0.21695961120227972,31.097433
