Strategy,Split,mae,rmse,cvrmse,wape
FTL,Overall,45.44811274210612,50.88599904367882,90.65400695800781,82.78642272949219
FTL,Warm-start,41.309002339839935,47.16865396795492,92.64459228515625,84.18590545654297
FTL,Cold-start,62.00455435117086,65.7553793465745,82.69168853759766,77.18846893310547
Personalized FL,Overall,45.08642657200495,51.07177988855183,50.58940505981445,45.923072814941406
Personalized FL,Warm-start,29.173101877172787,35.606805022919865,43.37567138671875,38.34711837768555
Personalized FL,Cold-start,108.73972535133362,112.93167935107965,79.44429779052734,76.22692108154297
Progressive Unfreezing,Overall,67.13376726309458,73.38667917439061,75.50645446777344,70.3045425415039
Progressive Unfreezing,Warm-start,60.33202631274859,67.09090786163974,78.72460174560547,73.07067108154297
Progressive Unfreezing,Cold-start,94.34073106447856,98.56976442539418,62.63387680053711,59.24005126953125
Instance-based TL,Overall,48.212911836306255,53.89832596955253,100.93408966064453,96.65010833740234
Instance-based TL,Warm-start,41.74685210982958,47.89230804883812,102.7501449584961,98.08300018310547
Instance-based TL,Cold-start,74.07715074221294,77.92239765241017,93.669921875,90.91851806640625
Fed-SimTL,Overall,67.4534613251686,73.51219818628505,58.77457046508789,53.414554595947266
Fed-SimTL,Warm-start,61.63666544854641,68.21650207843993,61.59635543823242,55.70880126953125
Fed-SimTL,Cold-start,90.72064483165741,94.69498261766552,47.48744583129883,44.237613677978516
FedMetaTL,Overall,64.88021022478739,70.97859385942857,71.19650268554688,66.15569305419922
FedMetaTL,Warm-start,58.58884667356809,65.15658389540116,74.33965301513672,68.86664581298828
FedMetaTL,Cold-start,90.04566442966461,94.26663371553819,58.623870849609375,55.31192398071289
