Strategy,building_id,cold_start,mae,rmse,cvrmse,wape
FedAvg (No Pretrain),196,False,11.935765266418457,14.919689589638649,37.02799,29.622423
FedAvg (No Pretrain),212,True,802.0314331054688,803.8077350958996,86.368195,86.17734
FedAvg (No Pretrain),216,True,90.28392028808594,97.08092025792195,66.46273,61.809425
FedAvg (No Pretrain),228,False,7.042940139770508,9.004097747421293,29.907084,23.393105
FedAvg (No Pretrain),231,False,48.31017303466797,48.47426779923421,62.046345,61.836308
FedAvg (No Pretrain),236,False,29.401206970214844,30.82551841330846,54.67279,52.146606
FedAvg (No Pretrain),266,False,34.025291442871094,40.50372523376708,54.695225,45.94691
FedAvg (No Pretrain),294,False,27.822792053222656,32.82197965743097,56.764244,48.11836
FedAvg (No Pretrain),301,False,7.2098469734191895,8.343796633472211,23.626095,20.41523
FedAvg (No Pretrain),313,False,29.91485595703125,41.93174065100848,74.39928,53.07778
FedAvg (No Pretrain),327,False,89.41328430175781,91.21112185473875,63.3262,62.07799
FedAvg (No Pretrain),331,False,142.3397979736328,271.21196449917176,157.3183,82.56515
FedAvg (No Pretrain),356,False,23.895631790161133,24.144865879516576,2390.1667,2365.4944
FedAvg (No Pretrain),400,True,6.217702865600586,7.121507290515624,32.253437,28.160086
FedAvg (No Pretrain),468,False,19.854280471801758,22.443392604105806,44.836853,39.664387
FedAvg (No Pretrain),474,True,14.175481796264648,14.648583332607414,114.86929,111.159386
FedAvg (No Pretrain),480,False,8.059940338134766,8.799192079390016,51.393223,47.075497
FedAvg (No Pretrain),503,False,13.31159782409668,13.806443763847984,110.067924,106.1229
FedAvg (No Pretrain),519,False,848.5656127929688,871.436135066707,89.64467,87.29198
FedAvg (No Pretrain),524,False,94.36546325683594,96.39054268313879,67.65328,66.23194
FedAvg (No Pretrain),539,True,17.959550857543945,18.41933526545119,330.51224,322.26196
FedAvg (No Pretrain),540,False,143.70309448242188,146.72010449321525,67.24667,65.86388
FedAvg (No Pretrain),545,False,48.12065505981445,50.64756441577423,58.366646,55.454613
FedAvg (No Pretrain),548,False,7.21785306930542,8.201018609769946,44.754086,39.388817
FedAvg (No Pretrain),879,True,163.75830078125,165.45876681404644,67.604095,66.90931
FedAvg (No Pretrain),892,False,86.67367553710938,90.08234080550972,68.545815,65.95208
FedAvg (No Pretrain),901,True,92.50868225097656,94.23084499481844,58.901024,57.82455
FedAvg (No Pretrain),907,False,30.497163772583008,31.751764683980557,44.994884,43.21701
FedAvg (No Pretrain),908,False,56.00657653808594,59.640021201423544,55.1482,51.788406
FedAvg (No Pretrain),936,False,15.327107429504395,16.19037664473676,123.89408,117.28808
FedAvg (No Pretrain),947,True,28.939302444458008,29.758307827657557,44.70676,43.47634
FedAvg (No Pretrain),952,False,92.80901336669922,94.68611281987185,58.88592,57.718544
FedAvg (No Pretrain),1087,True,8.18631649017334,9.078988065417434,37.46564,33.781918
FedAvg (No Pretrain),1091,False,152.46473693847656,157.36670326620876,74.65685,72.33131
FedAvg (No Pretrain),1093,True,6.5889410972595215,7.8109327041174765,34.029827,28.705988
FedAvg (No Pretrain),1128,False,44.056251525878906,44.814172519346485,55.27311,54.3383
FedAvg (No Pretrain),1141,False,6.237462520599365,7.097139464623917,33.297756,29.264399
FedAvg (No Pretrain),1152,False,269.96197509765625,272.69051539703395,69.835365,69.1366
FedAvg (No Pretrain),1154,False,200.2432098388672,205.91486977328762,69.37128,67.46053
FedAvg (No Pretrain),1158,False,156.3096923828125,165.78295533995646,70.80485,66.75887
FedAvg (No Pretrain),1167,False,40.06903076171875,51.43682126678563,69.689445,54.28773
FedAvg (No Pretrain),1191,False,309.57891845703125,318.67040672927254,72.57773,70.507126
FedAvg (No Pretrain),1193,False,36.53477096557617,52.68205506414162,72.25562,50.108955
FedAvg (No Pretrain),1211,False,22.454557418823242,30.598442925623786,54.304417,39.8511
FedAvg (No Pretrain),1215,False,53.74807357788086,55.945183218849365,61.434883,59.022175
FedAvg (No Pretrain),1218,False,188.2398223876953,220.31712761097353,77.39302,66.1249
FedAvg (No Pretrain),1220,True,250.16416931152344,284.12715848278214,77.68834,68.4019
FedAvg (No Pretrain),1235,False,190.66998291015625,202.26396351673722,68.47759,64.55238
FedAvg (No Pretrain),1255,False,11.012460708618164,12.702943019337647,31.260496,27.100414
FedAvg (No Pretrain),1262,False,53.071720123291016,61.4808309810871,63.422306,54.747646
FedAvg (No Pretrain),1267,False,134.27479553222656,140.18959678547836,65.55727,62.791313
FedAvg (No Pretrain),1268,False,15.053450584411621,17.978075026003896,42.78162,35.822018
FedAvg (No Pretrain),1293,False,48.3769416809082,49.20201104248687,58.20661,57.230545
FedAvg (No Pretrain),1317,False,250.86688232421875,258.6686164284334,67.963936,65.91406
FedAvg (No Pretrain),1334,False,58.35367202758789,60.81041837071897,58.845657,56.46829
FedAvg (No Pretrain),1341,False,16.18829917907715,16.66895970147198,142.768,138.65118
FedAvg (No Pretrain),1375,True,78.80491638183594,79.57396016737354,62.748676,62.142246
FedAvg (No Pretrain),1407,False,49.3892936706543,54.29737859478692,58.022064,52.777298
FedAvg (No Pretrain),1419,False,18.456443786621094,18.87832551675085,194.82208,190.4683
FedAvg (No Pretrain),1447,False,114.05126190185547,115.88325466148032,62.422665,61.43583
