Strategy,building_id,cold_start,mae,rmse,cvrmse,wape
Instance-TL,196,False,18.148578643798828,19.61038032781523,48.66944,45.04151
Instance-TL,212,True,555.7250366210938,557.8533633491869,59.94069,59.712006
Instance-TL,216,True,19.595653533935547,23.777548783923777,16.278387,13.415414
Instance-TL,228,False,20.539945602416992,21.164120899005805,70.29657,68.223366
Instance-TL,231,False,5.513092517852783,6.647504478817479,8.508708,7.0566773
Instance-TL,236,False,11.339458465576172,12.457596534877073,22.095057,20.111904
Instance-TL,266,False,13.9756498336792,16.892953773897307,22.811825,18.87237
Instance-TL,294,False,13.668415069580078,16.55533453490143,28.63176,23.638952
Instance-TL,301,False,18.733217239379883,19.113433332089617,54.121143,53.04453
Instance-TL,313,False,17.622154235839844,20.546883168962253,36.456234,31.266903
Instance-TL,327,False,12.121930122375488,15.782311613426002,10.957368,8.416032
Instance-TL,331,False,103.44152069091797,185.60969002519778,107.66413,60.001934
Instance-TL,356,False,26.17409896850586,26.41407405353193,2614.8018,2591.046
Instance-TL,400,True,22.180234909057617,22.394768022143587,101.4263,100.45467
Instance-TL,468,False,14.366761207580566,15.455608665898552,30.876831,28.70156
Instance-TL,474,True,24.52242088317871,24.716321437668597,193.81712,192.29663
Instance-TL,480,False,23.455245971679688,23.82639850302601,139.16225,136.99448
Instance-TL,503,False,24.19368553161621,24.443951703894847,194.87242,192.87723
Instance-TL,519,False,607.352294921875,634.4474958576162,65.26564,62.47836
Instance-TL,524,False,11.679341316223145,13.969441441569993,9.804681,8.197336
Instance-TL,539,True,26.63311767578125,26.93583231496662,483.3303,477.8984
Instance-TL,540,False,32.98027420043945,38.49083729492075,17.641623,15.11595
Instance-TL,545,False,8.12102222442627,10.210452569538957,11.766605,9.358728
Instance-TL,548,False,22.866134643554688,23.45687350332054,128.00739,124.78364
Instance-TL,879,True,49.00563049316406,52.841497678937195,21.590284,20.023003
Instance-TL,892,False,13.012344360351562,15.8832400105401,12.0859375,9.901405
Instance-TL,901,True,13.357489585876465,16.503268756178937,10.315724,8.349387
Instance-TL,907,False,9.715825080871582,11.176909650085388,15.838608,13.76813
Instance-TL,908,False,10.747544288635254,14.264891222229185,13.190524,9.9380865
Instance-TL,936,False,26.69351577758789,27.067146730472096,207.12671,204.26758
Instance-TL,947,True,10.359539031982422,11.547716081723761,17.348465,15.563432
Instance-TL,952,False,14.645188331604004,17.43407294392399,10.842366,9.107941
Instance-TL,1087,True,21.055980682373047,21.976105632026798,90.687294,86.89028
Instance-TL,1091,False,36.24495315551758,41.92261023628464,19.888645,17.19509
Instance-TL,1093,True,17.68910026550293,18.559166400210522,80.85657,77.065956
Instance-TL,1128,False,7.064159393310547,8.228911757243244,10.149413,8.712826
Instance-TL,1141,False,20.401546478271484,21.260068415534395,99.746185,95.71825
Instance-TL,1152,False,114.45242309570312,118.21827914259917,30.275408,29.31098
Instance-TL,1154,False,63.60649871826172,73.39070650144505,24.724813,21.428583
Instance-TL,1158,False,41.35895919799805,54.254857843416886,23.171904,17.664146
Instance-TL,1167,False,17.213714599609375,21.303892483791255,28.86369,23.32209
Instance-TL,1191,False,146.93914794921875,158.8146398911322,36.170303,33.46564
Instance-TL,1193,False,20.416213989257812,22.140919276228896,30.367188,28.001684
Instance-TL,1211,False,16.444042205810547,18.491293018079315,32.81732,29.183971
Instance-TL,1215,False,7.305830001831055,10.772909902554401,11.830016,8.022725
Instance-TL,1218,False,73.03034210205078,104.1933580386725,36.60105,25.654104
Instance-TL,1220,True,120.77452850341797,147.7590482106764,40.40147,33.023148
Instance-TL,1235,False,69.60225677490234,85.2287019766522,28.85465,23.564232
Instance-TL,1255,False,18.922969818115234,20.273365998187977,49.890446,46.567276
Instance-TL,1262,False,15.946533203125,20.298121413326808,20.939106,16.450102
Instance-TL,1267,False,33.30164337158203,43.46111093912005,20.323845,15.572945
Instance-TL,1268,False,18.84222412109375,20.562265504931904,48.931103,44.837997
Instance-TL,1293,False,7.396578788757324,12.116155485750536,14.333567,8.750248
Instance-TL,1317,False,113.38861846923828,123.72174945846223,32.507294,29.792315
Instance-TL,1334,False,7.879673957824707,10.072669535422287,9.747226,7.625085
Instance-TL,1341,False,20.901609420776367,21.65614219737779,185.48271,179.02022
Instance-TL,1375,True,8.027076721191406,10.204135161278904,8.046552,6.329815
Instance-TL,1407,False,10.614151954650879,12.819074032769183,13.698435,11.34226
Instance-TL,1419,False,21.69808578491211,22.197090246914964,229.07133,223.92168
Instance-TL,1447,False,19.769485473632812,22.51029020877348,12.125586,10.6492
